date,rx,hml_fx,rx_net,hml_fx_net,dollar,carry
1983-11-30,-1.6437119004312422,-0.30125920999636013,-1.0478475858770655,-4.339877786795136,1.5391427521029686,1.1091656441867852
1983-12-31,-0.8554345463197909,0.9247293185535008,-0.5159484458726167,-2.6221607431783354,0.7867874003888677,0.048535747675435004
1984-01-31,-3.002851096995855,2.409070504107108,-1.8085636151102689,-5.453766300739929,2.9358589464336537,-1.3473619439159727
1984-02-29,4.657608328236603,1.41805590361746,2.664338403853013,12.95994097136709,-4.761084942947312,-0.5040861541519572
1984-03-31,-0.10218502993351332,-0.8148126654392365,-0.18668901967680587,-0.8697466158729641,0.11936022766251483,2.082354285773315
1984-04-30,-3.4527861038351877,1.1919745321771036,-1.8609294285910276,-9.113972740001742,3.3008273430850243,-0.35053725177027206
1984-05-31,-0.8662248008460639,0.09184464595324987,-0.5710821106858108,-2.2196905956632635,0.7961619690536647,0.8764364167166236
1984-06-30,-2.227217252474063,-0.1969518625990374,-1.361030551784874,-6.184371563030069,2.132120342756509,1.0824685174811193
1984-07-31,-5.073431306948761,-5.863365663723988,-3.3551606435543064,-17.000700611671324,4.907047780570025,6.745973804401598
1984-08-31,0.9529750282054689,2.595916621504568,0.5386535284692198,3.883884928109743,-0.983356511430814,-1.2641525388784047
1984-09-30,-4.930001457750257,0.5986809250459829,-3.1526709436409956,-10.882704667848678,4.8042174729633205,0.5242942601438927
1984-10-31,-0.9677657690860473,-6.543972176511492,-1.281348005083489,-5.494538163511203,0.8888015718801023,7.661644584195404
1984-11-30,-1.1293486556641046,3.725362906475116,-0.4406050339313264,-1.5721291902747014,1.1580622289170903,-2.4905093957066358
1984-12-31,-1.9610581725731528,-0.44601805981433484,-1.0975430532100203,-6.938944260065984,1.949382654687511,1.5575072021554406
1985-01-31,-0.8264253409261093,1.0198266353524241,-0.6821728865347706,-1.3385658598218868,0.937025503544584,-0.11474504208030342
1985-02-28,-4.6780351984567,2.6309550989021213,-2.8767559464951633,-10.034325849080894,4.7924611167006,-1.6940636798679596
1985-03-31,5.641068443306249,1.0382761871485262,3.0055989974625774,14.265810844490199,-5.691519355798558,1.043197990791085
1985-04-30,-0.6605839444465984,-0.09332415528273408,-0.8037039938915272,-1.6307635655992274,1.0377694311534178,1.358665364216758
1985-05-31,1.1297219755361172,0.6216088574120685,0.7016383247465102,1.55769379348909,-0.9062377076818192,0.6826186799804919
1985-06-30,1.5692127523854615,3.7222366598476624,1.1556912142148628,4.5944919697710525,-1.2181975877398346,-2.293449713087947
1985-07-31,5.605400722449042,1.9182410731903001,3.3859470092648993,14.111054578987945,-5.382180334029754,-0.7977619159287991
1985-08-31,-0.4413762462067722,1.6004512781209586,-0.37342160107609323,-0.05973741050864425,0.6216598931766046,-0.31266781026271045
1985-09-30,3.5539757685717883,-2.213780268359096,1.7261622689201377,7.376662687626928,-3.331156803043299,3.7519377631735717
1985-10-31,1.917432673793244,2.72323545407121,1.3280131181665484,4.416645734406881,-1.7141561279499185,-1.2726992494368392
1985-11-30,2.1721588766139144,-2.042324742355676,1.1903052973588344,1.5062592052501749,-1.8777849559157975,3.413867891420967
1985-12-31,0.2930062277474985,-4.466115572125932,-0.355709468339698,-1.801288083197015,-0.18094421951562434,5.7371499896908285
1986-01-31,2.2140883821066337,3.854702820135451,1.4173127260990648,7.122991012401155,-1.9939596005755278,-2.644619997064299
1986-02-28,4.523425936899207,-2.117426357867392,2.1035277356527096,11.042863999761865,-4.279413792704663,3.216102512655216
1986-03-31,-1.7115267356299615,4.932217061448996,-0.5809390812055387,-3.4234443427094545,1.9894462000243789,-3.661049288049436
1986-04-30,4.814291406342542,0.39425023628403555,2.3081057638283182,13.959177929674743,-4.527509137180217,0.7774646528702813
1986-05-31,-5.203870636407365,4.064428405760951,-3.3944463805905776,-8.180975102734179,5.535584986639875,-2.578728823331091
1986-06-30,2.7561244069887763,-6.920593980232195,0.5463918772947731,5.274225205192905,-2.582327837114642,7.792132747283887
1986-07-31,1.1675265635639929,-10.466468354496422,-0.9092570922350196,0.87710681334517,-0.9971964693957684,11.385661349507306
1986-08-31,1.1280783975525244,-1.5214480442896825,0.519091025851272,0.9209777848948868,-0.8947108046667944,2.428374920858804
1986-09-30,1.040195391978157,2.1549288613182545,0.9762157085712835,1.3007426318675481,-0.7284599071563931,-0.9717010620470349
1986-10-31,-1.1193105830998638,5.250516533207351,-0.4550828535296976,0.14734759943263107,1.358750397373034,-4.228765368422856
1986-11-30,2.841896658865171,1.047018141736529,2.2807959969786684,3.31370244119738,-2.6283568417487686,-0.13292901319010564
1986-12-31,1.9127564768522318,2.070899135815411,1.3152967134164815,4.24501355088402,-1.6983325675793624,-1.034416468797307
1987-01-31,3.694169237650672,0.6905073376306206,2.6411799101500293,4.50326171813039,-3.503624566107174,0.3996382110907651
1987-02-28,0.9373826678530579,2.742366537689235,0.47756578152920076,2.481570431750209,-0.7267200509680323,-1.7095831902917205
1987-03-31,2.018758225299716,1.9184008091507678,1.2851161529733603,4.795180223535987,-1.7081521651130287,-0.7087835952330577
1987-04-30,1.0244042266910456,0.45272382198151273,0.3312481035986562,3.2373780378331105,-0.8529430194399718,0.8383211363834076
1987-05-31,-0.9640229441765963,2.9119834379301492,-0.4604951038098018,-1.3262506316574858,1.1100180133881727,-1.6236373193750127
1987-06-30,-0.10571880263667802,3.334008286156291,0.11915579702017332,0.7599257229706197,0.16658923612852078,-2.2679902090331163
1987-07-31,-1.267708144609886,0.8018334853083662,-0.7130721876322674,-3.479114191665954,1.3474125156640397,0.35679486014178335
