cur_code,date,mkt_gross
AED,1995-06-30,0.005726035759708392
AED,1995-07-31,0.17601492880625227
AED,1995-08-31,-0.06674776585587423
AED,1995-09-30,0.08460231951412313
AED,1995-10-31,-0.07410603814314287
AED,1995-11-30,0.10214998032668654
AED,1995-12-31,0.10375051068855878
AED,1996-01-31,0.06306189568834111
AED,1996-02-29,0.03086857289614671
AED,1996-03-31,0.05954084156016483
AED,1996-04-30,0.1379913202256426
AED,1996-05-31,0.007372276863221677
AED,1996-06-30,-0.0023996341342884054
AED,1996-07-31,-0.1639966378817452
AED,1996-08-31,0.05639337481759827
AED,1996-09-30,0.12381405248359202
AED,1996-10-31,-0.006258495955115762
AED,1996-11-30,0.16542316819236969
AED,1996-12-31,-0.056610754971272
AED,1997-01-31,0.03971845817785743
AED,1997-02-28,0.03665083146980941
AED,1997-03-31,-0.09283156626425404
AED,1997-04-30,0.07794987248613562
AED,1997-05-31,0.25114311529622885
AED,1997-06-30,0.16938302623763868
AED,1997-07-31,0.14639072685120158
AED,1997-08-31,-0.20040329201245927
AED,1997-09-30,0.16430459016279442
AED,1997-10-31,-0.21604105839967427
AED,1997-11-30,-0.0062551854055745044
AED,1997-12-31,0.027670526556288128
AED,1998-01-31,0.05906097449055053
AED,1998-02-28,0.26439665623839326
AED,1998-03-31,0.1507666564283072
AED,1998-04-30,0.0304327862767826
AED,1998-05-31,-0.07183017063672076
AED,1998-06-30,0.0322937468766809
AED,1998-07-31,-0.0371110192269885
AED,1998-08-31,-0.5417873705780238
AED,1998-09-30,0.08744456531625935
AED,1998-10-31,0.3109408725640803
AED,1998-11-30,0.2067874407962536
AED,1998-12-31,0.16917197547187118
AED,1999-01-31,0.10378601361394013
AED,1999-02-28,-0.1253097511224301
AED,1999-03-31,0.16222273046887287
AED,1999-04-30,0.19592906081445266
AED,1999-05-31,-0.10672295185623018
AED,1999-06-30,0.1995597703018623
AED,1999-07-31,-0.009783407206525567
AED,1999-08-31,0.011218025460430171
AED,1999-09-30,-0.02288371580465523
AED,1999-10-31,0.18337952787640027
AED,1999-11-30,0.1684353113603434
AED,1999-12-31,0.31483798539386393
AED,2000-01-31,-0.15524556057839212
AED,2000-02-29,0.12179661338158475
AED,2000-03-31,0.13684437606091193
AED,2000-04-30,-0.2408006362778698
AED,2000-05-31,-0.13397765662636954
AED,2000-06-30,0.1712031623123551
AED,2000-07-31,-0.11660105653830144
AED,2000-08-31,0.17054334155163037
AED,2000-09-30,-0.20713552207842187
AED,2000-10-31,-0.1285273181961076
AED,2000-11-30,-0.27756175675959777
AED,2000-12-31,0.07591318657561774
AED,2001-01-31,0.10791648976378253
AED,2001-02-28,-0.3173857336680532
AED,2001-03-31,-0.25262654310179417
AED,2001-04-30,0.2729478158161019
AED,2001-05-31,-0.0192577584042534
AED,2001-06-30,-0.09720400956134667
AED,2001-07-31,-0.09799045263291568
AED,2001-08-31,-0.15180488864049002
AED,2001-09-30,-0.36067401093710255
AED,2001-10-31,0.1058741242646338
AED,2001-11-30,0.21763127173346034
AED,2001-12-31,0.037084006933373125
AED,2002-01-31,-0.08899098285889495
AED,2002-02-28,-0.02997249751548208
AED,2002-03-31,0.18744751941042256
AED,2002-04-30,-0.07063030598588423
AED,2002-05-31,0.010214680207760498
AED,2002-06-30,-0.1924458688301201
AED,2002-07-31,-0.2955930385341758
AED,2002-08-31,0.008982291261072637
AED,2002-09-30,-0.3688672296068442
AED,2002-10-31,0.2048390435104609
AED,2002-11-30,0.18721671442212362
AED,2002-12-31,-0.1463805984134139
AED,2003-01-31,-0.0742396532466669
AED,2003-02-28,-0.05867002246530895
AED,2003-03-31,-0.02465109314463096
AED,2003-04-30,0.30945367404919183
AED,2003-05-31,0.2527073349208248
AED,2003-06-30,0.08887448530815265
AED,2003-07-31,0.09303794569587288
AED,2003-08-31,0.11645940440575063
AED,2003-09-30,0.052793417510192044
AED,2003-10-31,0.21616935814987734
AED,2003-11-30,0.05925758604823674
AED,2003-12-31,0.21313764481104633
AED,2004-01-31,0.08980895436140647
AED,2004-02-29,0.08215486515935655
AED,2004-03-31,0.017583132544265887
AED,2004-04-30,-0.10029449489071068
AED,2004-05-31,0.008299503811834032
AED,2004-06-30,0.07878523799782766
AED,2004-07-31,-0.11891517524673097
AED,2004-08-31,0.018769404549855616
AED,2004-09-30,0.10075335839870683
AED,2004-10-31,0.09380893036253984
AED,2004-11-30,0.2236322940576185
AED,2004-12-31,0.14059810866757155
AED,2005-01-31,-0.0555002705077272
AED,2005-02-28,0.14473938648824616
AED,2005-03-31,-0.07496440618239465
AED,2005-04-30,-0.08847452993985247
AED,2005-05-31,0.06761969179788463
AED,2005-06-30,0.06740263314145271
AED,2005-07-31,0.14659914749320968
AED,2005-08-31,0.056485330356157895
AED,2005-09-30,0.11516404603520512
AED,2005-10-31,-0.10710017273601184
AED,2005-11-30,0.13614487302208717
AED,2005-12-31,0.1145600987896446
AED,2006-01-31,0.21171252368957316
AED,2006-02-28,0.0003515486114004891
AED,2006-03-31,0.08472477346617494
AED,2006-04-30,0.1203660251405326
AED,2006-05-31,-0.1576734552173707
AED,2006-06-30,-0.011629256770369472
AED,2006-07-31,0.0025428135758518225
AED,2006-08-31,0.10501771729025036
AED,2006-09-30,0.04377488142733404
AED,2006-10-31,0.13320681468764578
AED,2006-11-30,0.12045774185597334
AED,2006-12-31,0.09608347456435551
AED,2007-01-31,0.04815374149186637
AED,2007-02-28,0.009324589347234768
AED,2007-03-31,0.09613907047739498
AED,2007-04-30,0.18148184675052553
