cur_code,date,mkt,rf
AED,1995-06-30,0.0010266116146419573,0.004699424145066434
AED,1995-07-31,0.1715154188688714,0.004499509937380887
AED,1995-08-31,-0.07144725395694704,0.00469948810107281
AED,1995-09-30,0.08030231951412313,0.0043
AED,1995-10-31,-0.07880584620717598,0.004699808064033107
AED,1995-11-30,0.09795015184860323,0.004199828478083311
AED,1995-12-31,0.09885071080290984,0.004899799885648943
AED,1996-01-31,0.058761895688341115,0.0043
AED,1996-02-29,0.026968732179507723,0.003899840716638985
AED,1996-03-31,0.05564084156016483,0.0039
AED,1996-04-30,0.13339144546727727,0.004599874758365324
AED,1996-05-31,0.003172276863221677,0.0042
AED,1996-06-30,-0.0063996341342884054,0.004
AED,1996-07-31,-0.1684966378817452,0.0045
AED,1996-08-31,0.05229337481759827,0.0041
AED,1996-09-30,0.11941519051789641,0.004398861965695617
AED,1996-10-31,-0.010458667500384652,0.00420017154526889
AED,1996-11-30,0.16132305656395618,0.004100111628413516
AED,1996-12-31,-0.06121138128175862,0.0046006263104866165
AED,1997-01-31,0.03521827435432802,0.004500183823529411
AED,1997-02-28,0.03275051284235843,0.00390031862745098
AED,1997-03-31,-0.09713191749492274,0.004300351230668699
AED,1997-04-30,0.07364952117894608,0.004300351307189543
AED,1997-05-31,0.2462429151818778,0.004900200114351058
AED,1997-06-30,0.1656828751349978,0.003700151102640893
AED,1997-07-31,0.1420906097774996,0.004300117073701979
AED,1997-08-31,-0.20450351526928628,0.004100223256827031
AED,1997-09-30,0.15990453026299045,0.004400059899803964
AED,1997-10-31,-0.22024117275073202,0.0042001143510577476
AED,1997-11-30,-0.010155397771824606,0.003900212366250102
AED,1997-12-31,0.022870461209268222,0.004800065347019903
AED,1998-01-31,0.05476085742003597,0.0043001170705145655
AED,1998-02-28,0.2604964969637057,0.0039001592746875768
AED,1998-03-31,0.14686633788760478,0.0039003185407024228
AED,1998-04-30,0.026132083834570725,0.0043007024422118765
AED,1998-05-31,-0.07583011618680108,0.003999945550080314
AED,1998-06-30,0.028193635251306547,0.004100111625374354
AED,1998-07-31,-0.04111112812979274,0.004000108902804247
AED,1998-08-31,-0.5460874876517258,0.004300117073701979
AED,1998-09-30,0.08284444007462467,0.004600125241634675
AED,1998-10-31,0.30774078543946487,0.003200087124615427
AED,1998-11-30,0.2036873563965803,0.0031000843996732913
AED,1998-12-31,0.16537187201139036,0.0038001034604808193
AED,1999-01-31,0.10028548950492545,0.003500524109014675
AED,1999-02-28,-0.12881027520290708,0.003500524080476981
AED,1999-03-31,0.15792191095295902,0.004300819515913856
AED,1999-04-30,0.19222840603634211,0.003700654778110536
AED,1999-05-31,-0.11012355354422365,0.0034006016879934656
AED,1999-06-30,0.19555906241436197,0.004000707887500341
AED,1999-07-31,-0.013584131429891299,0.0038007242233657327
AED,1999-08-31,0.00731744145324239,0.003900584007187781
AED,1999-09-30,-0.026784299795943007,0.0039005839912877754
AED,1999-10-31,0.17947883768608744,0.0039006901903128324
AED,1999-11-30,0.16483496831651,0.003600343043833379
AED,1999-12-31,0.31043738641213287,0.004400598981731057
AED,2000-01-31,-0.15934606289257672,0.0041005023141845905
AED,2000-02-29,0.11749585238180256,0.004300760999782182
AED,2000-03-31,0.13214380023733446,0.004700575823577457
AED,2000-04-30,-0.24540119984988176,0.004600563572011979
AED,2000-05-31,-0.13897833726889608,0.005000680642526545
AED,2000-06-30,0.16720272668927796,0.0040004356230771325
AED,2000-07-31,-0.12140151395498626,0.004800457416684818
AED,2000-08-31,0.16554306929461976,0.005000272257010618
AED,2000-09-30,-0.21223579978813353,0.0051002777097116725
AED,2000-10-31,-0.1341276993766783,0.005600381180570681
AED,2000-11-30,-0.28266175675959776,0.0051
AED,2000-12-31,0.07091271012584915,0.005000476449768581
AED,2001-01-31,0.10251634273699098,0.005400147026791549
AED,2001-02-28,-0.3211858888545493,0.0038001551864960525
AED,2001-03-31,-0.25682671462371087,0.0042001715219166895
AED,2001-04-30,0.2690476565457507,0.0039001592703512113
AED,2001-05-31,-0.022457889087618498,0.003200130683365097
AED,2001-06-30,-0.10000412390929113,0.0028001143479444595
AED,2001-07-31,-0.10099057514857046,0.0030001225156547785
AED,2001-08-31,-0.15490501523999997,0.0031001265995099377
AED,2001-09-30,-0.36347462080941056,0.0028006098723079857
AED,2001-10-31,0.1036739445750068,0.002200179689627008
AED,2001-11-30,0.21593110974053903,0.0017001619929213178
AED,2001-12-31,0.0355838435747192,0.0015001633586539246
AED,2002-01-31,-0.09039105908878252,0.001400076229887561
AED,2002-02-28,-0.031272568300377675,0.0013000707848955923
AED,2002-03-31,0.1861474486235998,0.0013000707868227605
AED,2002-04-30,-0.07213034682332399,0.001500040837439765
AED,2002-05-31,0.008814661149769755,0.001400019057990743
AED,2002-06-30,-0.1937458688301201,0.0013
AED,2002-07-31,-0.2970930793749512,0.00150004084077543
AED,2002-08-31,0.007582253144053388,0.0014000381170192493
AED,2002-09-30,-0.3702672677228257,0.0014000381159814863
AED,2002-10-31,0.2034390053944794,0.0014000381159814863
AED,2002-11-30,0.18601664908222,0.0012000653399036236
AED,2002-12-31,-0.147480658311587,0.0011000598981731058
AED,2003-01-31,-0.07523968047310922,0.001000027226442321
AED,2003-02-28,-0.05957002246530895,0.0009000000000000001
AED,2003-03-31,-0.02565107953178043,0.0009999863871494692
AED,2003-04-30,0.30845367404919183,0.001
AED,2003-05-31,0.2518073104170267,0.0009000245037980887
AED,2003-06-30,0.08787445808245159,0.0010000272257010617
AED,2003-07-31,0.09233792663736326,0.0007000190585096246
